Function,Algorithm,MaxIterations,NumRuns,AvgFitness,StdFitness,MinFitness,MaxFitness,MedianFitness
Levy,CBO,1000,30,3.094512e+00,1.985147e-01,2.346223e+00,3.259454e+00,3.151645e+00
Levy,LSCBO-Fixed,1000,30,4.306029e+01,1.321100e+01,1.588516e+01,7.299595e+01,4.341548e+01
Dixon-Price,Random,1000,30,6.093984e+05,1.167177e+05,2.298975e+05,8.388483e+05,6.183445e+05
Dixon-Price,PSO,1000,30,4.097309e+01,9.654703e+01,6.666667e-01,3.210000e+02,6.666667e-01
Dixon-Price,GWO,1000,30,6.666729e-01,2.001835e-05,6.666670e-01,6.667617e-01,6.666675e-01
Dixon-Price,WOA,1000,30,6.668115e-01,1.505810e-04,6.666671e-01,6.672995e-01,6.667785e-01
Dixon-Price,CBO,1000,30,9.927562e-01,7.931517e-03,9.695136e-01,9.999816e-01,9.951173e-01
Dixon-Price,LSCBO-Fixed,1000,30,5.112489e-01,2.817872e-01,2.626885e-04,6.669045e-01,6.666777e-01
Michalewicz,Random,1000,30,-9.466079e+00,4.977352e-01,-1.110836e+01,-8.745683e+00,-9.390339e+00
Michalewicz,PSO,1000,30,-2.441958e+01,1.283237e+00,-2.649283e+01,-2.156685e+01,-2.490131e+01
Michalewicz,GWO,1000,30,-1.255372e+01,4.228819e+00,-2.135257e+01,-8.235949e+00,-1.030540e+01
Michalewicz,WOA,1000,30,-1.212959e+01,1.463306e+00,-1.487150e+01,-8.828776e+00,-1.229546e+01
Michalewicz,CBO,1000,30,-9.340673e+00,8.353983e-01,-1.114260e+01,-7.617604e+00,-9.328233e+00
Michalewicz,LSCBO-Fixed,1000,30,-2.288636e+01,1.013436e+00,-2.583292e+01,-2.118512e+01,-2.280893e+01
Styblinski-Tang,Random,1000,30,-6.836350e+02,2.978419e+01,-7.591788e+02,-6.369718e+02,-6.779018e+02
Styblinski-Tang,PSO,1000,30,-1.014769e+03,3.449926e+01,-1.076028e+03,-9.205240e+02,-1.012413e+03
Styblinski-Tang,GWO,1000,30,-9.422981e+02,5.335319e+01,-1.036804e+03,-7.745721e+02,-9.457301e+02
Styblinski-Tang,WOA,1000,30,-1.168774e+03,1.763988e+01,-1.174983e+03,-1.101295e+03,-1.174879e+03
Styblinski-Tang,CBO,1000,30,-6.049406e+02,6.007410e+01,-7.863507e+02,-5.231481e+02,-5.900836e+02
Styblinski-Tang,LSCBO-Fixed,1000,30,-1.004402e+03,5.122272e+01,-1.146712e+03,-9.205240e+02,-1.005344e+03
Alpine,Random,1000,30,4.334846e+01,1.973290e+00,3.989999e+01,4.756237e+01,4.317144e+01
Alpine,PSO,1000,30,1.574803e-01,7.962818e-01,6.692373e-07,4.442730e+00,5.086205e-05
Alpine,GWO,1000,30,4.185774e-05,1.301966e-04,5.729549e-95,5.331852e-04,2.102250e-92
Alpine,WOA,1000,30,3.477339e-120,1.204564e-119,5.916133e-129,5.126722e-119,1.075917e-124
Alpine,CBO,1000,30,6.069828e-305,0.000000e+00,3.782832e-314,1.820924e-303,8.205513e-312
Alpine,LSCBO-Fixed,1000,30,4.800151e-03,1.760923e-03,2.368745e-03,9.679303e-03,4.513607e-03
Salomon,Random,1000,30,2.059996e+01,8.798004e-01,1.833674e+01,2.212984e+01,2.073935e+01
Salomon,PSO,1000,30,6.932067e-01,1.860705e-01,3.998733e-01,1.199873e+00,6.998733e-01
Salomon,GWO,1000,30,1.698733e-01,4.582576e-02,9.987335e-02,1.998734e-01,1.998733e-01
Salomon,WOA,1000,30,1.232151e-01,6.153704e-02,4.161966e-107,2.998733e-01,9.987335e-02
Salomon,CBO,1000,30,2.455844e-01,1.352516e-01,1.104991e-01,4.963566e-01,1.834440e-01
Salomon,LSCBO-Fixed,1000,30,1.781987e+01,2.359717e+00,1.339987e+01,2.509987e+01,1.734987e+01
Xin-She Yang,Random,1000,30,3.557838e-06,2.897797e-06,2.684508e-07,1.299845e-05,2.547927e-06
Xin-She Yang,PSO,1000,30,1.066555e-11,5.803654e-12,6.033291e-12,2.987495e-11,8.483004e-12
Xin-She Yang,GWO,1000,30,2.138874e-08,3.351423e-08,2.656219e-11,1.594551e-07,6.862115e-09
Xin-She Yang,WOA,1000,30,4.192317e-12,1.064402e-12,3.512706e-12,7.774924e-12,3.752517e-12
Xin-She Yang,CBO,1000,30,4.235536e-05,1.028447e-04,4.580819e-07,5.087328e-04,7.341756e-06
Xin-She Yang,LSCBO-Fixed,1000,30,8.623490e-12,1.972734e-12,4.764303e-12,1.324087e-11,8.593973e-12
HappyCat,Random,1000,30,1.167666e+00,7.208896e-02,1.009457e+00,1.317209e+00,1.168300e+00
HappyCat,PSO,1000,30,4.813958e-01,1.390111e-01,2.776392e-01,7.981660e-01,4.566201e-01
HappyCat,GWO,1000,30,6.942433e-01,9.639822e-02,5.175381e-01,9.437005e-01,6.940556e-01
HappyCat,WOA,1000,30,5.167516e-01,9.317930e-02,3.508718e-01,7.404725e-01,5.048635e-01
HappyCat,CBO,1000,30,1.563123e+00,2.158416e-01,1.067260e+00,1.970630e+00,1.596230e+00
HappyCat,LSCBO-Fixed,1000,30,3.703732e-01,1.114265e-01,1.763438e-01,6.213111e-01,3.652333e-01
Periodic,Random,1000,30,7.731409e+00,4.407175e-01,6.537392e+00,8.426417e+00,7.854836e+00
Periodic,PSO,1000,30,2.104913e+00,6.110117e-01,1.000000e+00,3.071713e+00,2.183836e+00
Periodic,GWO,1000,30,2.308881e+00,2.027165e+00,1.225591e+00,7.908495e+00,1.400970e+00
Periodic,WOA,1000,30,9.707380e-01,1.407266e-01,9.000000e-01,1.591925e+00,9.000000e-01
