Function,Algorithm,Run,Fitness
Sum Squares,EDCBO-Fixed,26,1.111500e-05
Sum Squares,EDCBO-Fixed,27,2.025823e-05
Sum Squares,EDCBO-Fixed,28,7.690482e-06
Sum Squares,EDCBO-Fixed,29,9.857376e-06
Sum Squares,EDCBO-Fixed,30,1.104706e-05
Zakharov,Random,1,4.571769e+02
Zakharov,Random,2,4.050537e+02
Zakharov,Random,3,3.991450e+02
Zakharov,Random,4,4.602883e+02
Zakharov,Random,5,4.111149e+02
Zakharov,Random,6,5.115363e+02
Zakharov,Random,7,4.160938e+02
Zakharov,Random,8,3.570247e+02
Zakharov,Random,9,3.070718e+02
Zakharov,Random,10,4.764658e+02
Zakharov,Random,11,3.798410e+02
Zakharov,Random,12,4.501861e+02
Zakharov,Random,13,4.372221e+02
Zakharov,Random,14,3.227016e+02
Zakharov,Random,15,3.918125e+02
Zakharov,Random,16,3.907482e+02
Zakharov,Random,17,4.378514e+02
Zakharov,Random,18,3.850334e+02
Zakharov,Random,19,3.492337e+02
Zakharov,Random,20,2.941127e+02
Zakharov,Random,21,3.246624e+02
Zakharov,Random,22,3.293742e+02
Zakharov,Random,23,3.755074e+02
Zakharov,Random,24,3.749060e+02
Zakharov,Random,25,3.728697e+02
Zakharov,Random,26,4.016727e+02
Zakharov,Random,27,3.806517e+02
Zakharov,Random,28,4.750481e+02
Zakharov,Random,29,3.448438e+02
Zakharov,Random,30,3.249360e+02
Zakharov,PSO,1,5.577950e+01
Zakharov,PSO,2,8.368454e+01
Zakharov,PSO,3,2.626501e+01
Zakharov,PSO,4,1.006545e+02
Zakharov,PSO,5,5.940982e+00
Zakharov,PSO,6,2.725112e+01
Zakharov,PSO,7,1.019729e+02
Zakharov,PSO,8,5.456521e+01
Zakharov,PSO,9,2.648895e+01
Zakharov,PSO,10,8.433133e+01
Zakharov,PSO,11,1.164041e-01
Zakharov,PSO,12,6.788207e-01
Zakharov,PSO,13,1.270426e+02
Zakharov,PSO,14,8.128078e+01
Zakharov,PSO,15,5.109104e+01
Zakharov,PSO,16,1.087590e+02
Zakharov,PSO,17,2.528996e+01
Zakharov,PSO,18,5.797819e+01
Zakharov,PSO,19,5.427235e-02
Zakharov,PSO,20,1.547914e+02
Zakharov,PSO,21,1.163181e+01
Zakharov,PSO,22,2.636772e+02
Zakharov,PSO,23,1.556756e+02
Zakharov,PSO,24,5.714094e-01
Zakharov,PSO,25,5.349318e+01
Zakharov,PSO,26,1.456062e+02
Zakharov,PSO,27,9.737520e+01
Zakharov,PSO,28,1.875422e+02
Zakharov,PSO,29,1.142137e+02
Zakharov,PSO,30,2.633139e+01
Zakharov,GWO,1,1.719819e-34
Zakharov,GWO,2,1.122988e-33
Zakharov,GWO,3,2.480446e-33
Zakharov,GWO,4,6.404880e-33
Zakharov,GWO,5,1.221979e-31
Zakharov,GWO,6,2.607265e-32
Zakharov,GWO,7,3.138801e-33
Zakharov,GWO,8,7.103230e-33
Zakharov,GWO,9,4.051725e-34
Zakharov,GWO,10,2.857943e-30
Zakharov,GWO,11,9.174740e-31
Zakharov,GWO,12,6.791001e-34
Zakharov,GWO,13,1.191231e-33
Zakharov,GWO,14,1.439341e-30
Zakharov,GWO,15,6.097143e-33
Zakharov,GWO,16,1.548980e-32
Zakharov,GWO,17,8.074535e-35
Zakharov,GWO,18,2.866764e-33
Zakharov,GWO,19,3.056770e-32
Zakharov,GWO,20,2.450281e-36
Zakharov,GWO,21,1.573650e-32
Zakharov,GWO,22,4.265918e-33
Zakharov,GWO,23,2.375983e-31
Zakharov,GWO,24,1.543664e-34
Zakharov,GWO,25,4.187331e-32
